model_name,n_masked_positions,top1_accuracy,top1_accuracy_std,top5_accuracy,top5_accuracy_std,mean_true_probability,std_true_probability,MRR
ESM-2,3378,0.6521610420367081,0.47628459694420433,0.948194197750148,0.2216347470571824,0.5371964583516498,0.3148406505577778,0.7701647917900138
OntoProtein,3378,0.8789224393132031,0.3262173891516697,0.9831261101243339,0.128798919700943,0.8556566502667854,0.2576509312439144,0.9234014209591475
ProtBERT,3378,0.9449378330373002,0.22810156670236087,0.9822380106571936,0.13208520385490732,0.9343829744435385,0.18289539614296535,0.9560144069469113
Distill ProtBERT,3378,0.3872113676731794,0.48711264037986657,0.8271166370633511,0.37814640783215675,0.34484925931292926,0.2889299827288827,0.5438178409315176
