model_name,n_masked_positions,top1_accuracy,top1_accuracy_std,top5_accuracy,top5_accuracy_std,mean_true_probability,std_true_probability,MRR
ESM-2,10990,0.862147406733394,0.34474520416719023,0.986624203821656,0.11487769259059544,0.8117699648372064,0.2845161005696845,0.9144858962693359
OntoProtein,10990,0.8825295723384895,0.3219800091411458,0.97852593266606,0.14495837942691464,0.8588442491167725,0.26402486480293513,0.9233348498635122
ProtBERT,10990,0.9101000909918108,0.2860383110153403,0.9815286624203822,0.1346482352934402,0.884774315265397,0.2394710042905634,0.9427828328783744
Distill ProtBERT,10990,0.3662420382165605,0.48177671971520153,0.7101000909918107,0.45371571690347345,0.31748928433677504,0.2874546909202644,0.48757506824385793
